nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
E,E01032471,77.101,72.39999999999999,46.800000000000004,77.101,1,1,134.0,1,1
E,E01035199,77.084,74.9,43.4,77.084,1,1,135.0,1,1
N,95MM08S1,52.91735436410811,19.7,46.8,77.0484622355739,1,1,136.0,1,1
E,E01012114,76.969,68.30000000000001,51.6,76.969,1,1,137.0,1,1
N,95SS26S1,54.16296584679677,16.2,44.5,76.89719954728841,1,1,138.0,1,1
E,E01006909,76.733,77.3,45.300000000000004,76.733,1,1,139.0,1,1
N,95GG21S1,53.37436681821105,15.6,45.4,76.68960762598229,1,1,140.0,1,1
E,E01013877,76.673,71.39999999999999,47.099999999999994,76.673,1,1,141.0,1,1
E,E01009607,76.669,63.3,45.0,76.669,1,1,142.0,1,1
E,E01005259,76.601,67.2,39.4,76.601,1,1,143.0,1,1
E,E01007940,76.584,82.6,44.4,76.584,1,1,144.0,1,1
E,E01012721,76.532,71.3,44.3,76.532,1,1,145.0,1,1
E,E01011344,76.495,72.39999999999999,34.5,76.495,1,1,146.0,1,1
E,E01007128,76.451,66.5,43.8,76.451,1,1,147.0,1,1
E,E01011432,76.227,75.1,34.2,76.227,1,1,148.0,1,1
E,E01008836,76.226,66.0,44.800000000000004,76.226,1,1,149.0,1,1
E,E01007289,76.079,72.89999999999999,42.699999999999996,76.079,1,1,150.0,1,1
E,E01006556,76.054,80.5,36.1,76.054,1,1,151.0,1,1
E,E01035464,76.027,77.2,42.9,76.027,1,1,152.0,1,1
N,95GG46S3,51.57897522783556,12.8,47.1,76.0266069342455,1,1,153.0,1,1
E,E01011347,76.013,69.19999999999999,37.1,76.013,1,1,154.0,1,1
