nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01034842,82.444,75.7,46.800000000000004,110.26840201205403,1,1,47.0,1,1
E,E01021015,82.133,75.7,47.699999999999996,110.08363937744429,1,1,48.0,1,1
N,95LL26S1,64.25391282690599,24.4,40.1,110.02540900120594,1,1,49.0,1,1
N,95SS06S3,60.4405709951999,17.1,44.4,109.6972942325394,1,1,50.0,1,1
E,E01005682,81.219,73.6,49.2,109.29198254715466,1,1,51.0,1,1
N,95GG19S2,62.54778692944572,20.5,41.3,109.23869302034625,1,1,52.0,1,1
E,E01012041,78.153,66.9,66.10000000000001,109.21374643826887,1,1,53.0,1,1
E,E01006386,80.934,68.2,49.2,108.94355808584143,1,1,54.0,1,1
N,95RR03W1,57.57368929928405,18.9,47.0,108.89124501152595,1,1,55.0,1,1
E,E01026383,81.615,62.6,45.1,108.88573531882321,1,1,56.0,1,1
E,E01013208,80.749,83.6,49.8,108.8476864334209,1,1,57.0,1,1
E,E01010710,82.438,68.5,39.5,108.67576698162512,1,1,58.0,1,1
N,95MM25S2,60.33400162180373,21.6,43.3,108.60945956758775,1,1,59.0,1,1
N,95GG21S3,59.02196656280781,17.9,44.9,108.60311293286429,1,1,60.0,1,1
N,95GG48S3,56.47710421319682,14.1,48.0,108.58779026951647,1,1,61.0,1,1
E,E01010612,80.94,77.10000000000001,47.4,108.55999750183646,1,1,62.0,1,1
E,E01022031,81.129,73.6,46.300000000000004,108.55217714551783,1,1,63.0,1,1
E,E01020752,80.183,65.7,51.4,108.5031906438477,1,1,64.0,1,1
E,E01010819,80.663,77.10000000000001,47.8,108.30821911757317,1,1,65.0,1,1
E,E01026625,80.525,82.0,47.9,108.16122476110286,1,1,66.0,1,1
E,E01025584,80.657,61.3,46.6,108.04028664187466,1,1,67.0,1,1
E,E01032332,81.036,71.0,44.2,107.98243560056002,1,1,68.0,1,1
E,E01012286,80.219,78.3,48.1,107.8305597890766,1,1,69.0,1,1
N,95GG21S2,58.91808981722954,15.2,44.1,107.78340269125745,1,1,70.0,1,1
N,95GG40S1,59.84934610772849,19.3,42.9,107.73101844353738,1,1,71.0,1,1
E,E01010666,81.237,72.1,41.6,107.66353921802389,1,1,72.0,1,1
E,E01012655,79.849,71.2,49.3,107.63881648423555,1,1,73.0,1,1
N,95JJ03S1,58.73536888800195,25.6,43.9,107.40872989622555,1,1,74.0,1,1
N,95GG35S3,58.52464354989597,16.3,44.0,107.26893994392,1,1,75.0,1,1
E,E01012076,79.998,80.30000000000001,46.2,107.14776574266713,1,1,76.0,1,1
E,E01012681,80.642,53.1,41.0,106.80582813421873,1,1,77.0,1,1
E,E01007970,78.107,67.60000000000001,55.2,106.79041805741497,1,1,78.0,1,1
N,95SS29S2,55.95244338644771,18.8,46.6,106.78199904646237,1,1,79.0,1,1
E,E01028276,79.3,68.8,47.9,106.6636108484407,1,1,80.0,1,1
E,E01012736,80.47,56.8,41.3,106.66070022143163,1,1,81.0,1,1
E,E01007133,78.064,77.60000000000001,54.1,106.49896796416765,1,1,82.0,1,1
E,E01012019,78.371,81.6,51.300000000000004,106.2662281597538,1,1,83.0,1,1
E,E01012170,78.454,79.3,50.6,106.21568409595982,1,1,84.0,1,1
E,E01011950,78.53,62.4,50.0,106.17829867370264,1,1,85.0,1,1
E,E01005434,80.241,72.0,40.2,106.14185732185358,1,1,86.0,1,1
E,E01027416,78.338,72.39999999999999,50.9,106.13901853346583,1,1,87.0,1,1
E,E01007273,78.75,68.7,47.599999999999994,105.9260634592343,1,1,88.0,1,1
E,E01015842,78.985,69.5,45.5,105.7573156802791,1,1,89.0,1,1
E,E01024667,79.076,65.5,44.5,105.65140264627094,1,1,90.0,1,1
